Date,Raw Sacramento Beach Seines (SR080E SR071E SR062E SR057E SR055E SR060E AM001S SR049E),Samples Sacramento Beach Seines (SR080E SR071E SR062E SR057E SR055E SR060E AM001S SR049E),Index Sacramento Beach Seines (SR080E SR071E SR062E SR057E SR055E SR060E AM001S SR049E)
2022-07-01,0,3,0
2022-07-02,,,
2022-07-03,,,
2022-07-04,,,
2022-07-05,0,2,0
2022-07-06,,,
2022-07-07,0,3,0
2022-07-08,,,
2022-07-09,,,
2022-07-10,,,
2022-07-11,,,
2022-07-12,0,3,0
2022-07-13,,,
2022-07-14,0,2,0
2022-07-15,,,
2022-07-16,,,
2022-07-17,,,
2022-07-18,,,
2022-07-19,0,2,0
2022-07-20,0,3,0
2022-07-21,,,
2022-07-22,,,
2022-07-23,,,
2022-07-24,,,
2022-07-25,,,
2022-07-26,,,
2022-07-27,0,3,0
2022-07-28,0,3,0
2022-07-29,,,
2022-07-30,,,
2022-07-31,,,
2022-08-01,,,
2022-08-02,0,3,0
2022-08-03,,,
2022-08-04,0,2,0
2022-08-05,,,
2022-08-06,,,
2022-08-07,,,
2022-08-08,,,
2022-08-09,0,2,0
2022-08-10,,,
2022-08-11,0,3,0
2022-08-12,,,
2022-08-13,,,
2022-08-14,,,
2022-08-15,,,
2022-08-16,0,2,0
2022-08-17,,,
2022-08-18,0,3,0
2022-08-19,,,
2022-08-20,,,
2022-08-21,,,
2022-08-22,,,
2022-08-23,0,2,0
2022-08-24,,,
2022-08-25,0,3,0
2022-08-26,,,
2022-08-27,,,
2022-08-28,,,
2022-08-29,,,
2022-08-30,0,3,0
2022-08-31,0,2,0
2022-09-01,,,
2022-09-02,,,
2022-09-03,,,
2022-09-04,,,
2022-09-05,,,
2022-09-06,,,
2022-09-07,,,
2022-09-08,0,3,0
2022-09-09,0,2,0
2022-09-10,,,
2022-09-11,,,
2022-09-12,,,
2022-09-13,,,
2022-09-14,,,
2022-09-15,,,
2022-09-16,,,
2022-09-17,,,
2022-09-18,,,
2022-09-19,,,
2022-09-20,,,
2022-09-21,0,2,0
2022-09-22,,,
2022-09-23,0,4,0
2022-09-24,,,
2022-09-25,,,
2022-09-26,,,
2022-09-27,,,
2022-09-28,,,
2022-09-29,0,2,0
2022-09-30,0,4,0
2022-10-01,,,
2022-10-02,,,
2022-10-03,0,8,0
2022-10-04,,,
2022-10-05,0,8,0
2022-10-06,0,8,0
2022-10-07,0,8,0
2022-10-08,,,
2022-10-09,,,
2022-10-10,,,
2022-10-11,0,8,0
2022-10-12,0,8,0
2022-10-13,,,
2022-10-14,0,8,0
2022-10-15,,,
2022-10-16,,,
2022-10-17,0,8,0
2022-10-18,,,
2022-10-19,,,
2022-10-20,,,
2022-10-21,0,8,0
2022-10-22,,,
2022-10-23,,,
2022-10-24,0,8,0
2022-10-25,,,
2022-10-26,0,8,0
2022-10-27,,,
2022-10-28,0,8,0
2022-10-29,,,
2022-10-30,,,
2022-10-31,0,8,0
2022-11-01,,,
2022-11-02,0,2,0
2022-11-03,,,
2022-11-04,0,8,0
2022-11-05,,,
2022-11-06,,,
2022-11-07,0,8,0
2022-11-08,,,
2022-11-09,0,7,0
2022-11-10,0,7,0
2022-11-11,,,
2022-11-12,,,
2022-11-13,,,
2022-11-14,0,8,0
2022-11-15,,,
2022-11-16,0,8,0
2022-11-17,,,
2022-11-18,0,8,0
2022-11-19,,,
2022-11-20,,,
2022-11-21,0,7,0
2022-11-22,,,
2022-11-23,0,8,0
2022-11-24,,,
2022-11-25,0,8,0
2022-11-26,,,
2022-11-27,,,
2022-11-28,0,8,0
2022-11-29,,,
2022-11-30,0,8,0
2022-12-01,,,
2022-12-02,0,8,0
2022-12-03,,,
2022-12-04,,,
2022-12-05,0,8,0
2022-12-06,,,
2022-12-07,0,8,0
2022-12-08,,,
2022-12-09,0,8,0
2022-12-10,,,
2022-12-11,,,
2022-12-12,0,8,0
2022-12-13,,,
2022-12-14,0,8,0
2022-12-15,0,8,0
2022-12-16,,,
2022-12-17,,,
2022-12-18,,,
2022-12-19,0,7,0
2022-12-20,,,
2022-12-21,0,8,0
2022-12-22,0,8,0
2022-12-23,,,
2022-12-24,,,
2022-12-25,,,
2022-12-26,,,
2022-12-27,2,8,2.0
2022-12-28,,,
2022-12-29,2,8,2.0
2022-12-30,,,
2022-12-31,,,
2023-01-01,,,
2023-01-02,,,
2023-01-03,1,8,1.0
2023-01-04,,,
2023-01-05,,,
2023-01-06,,,
2023-01-07,,,
2023-01-08,,,
2023-01-09,0,8,0
2023-01-10,,,
2023-01-11,,,
2023-01-12,,,
2023-01-13,,,
2023-01-14,,,
2023-01-15,,,
2023-01-16,,,
2023-01-17,0,2,0
2023-01-18,0,7,0
2023-01-19,0,1,0
2023-01-20,,,
2023-01-21,,,
2023-01-22,,,
2023-01-23,0,2,0
2023-01-24,,,
2023-01-25,0,8,0
2023-01-26,,,
2023-01-27,,,
2023-01-28,,,
2023-01-29,,,
2023-01-30,0,2,0
2023-01-31,,,
2023-02-01,,,
2023-02-02,0,3,0
2023-02-03,,,
2023-02-04,,,
2023-02-05,,,
2023-02-06,,,
2023-02-07,0,5,0
2023-02-08,,,
2023-02-09,,,
2023-02-10,,,
2023-02-11,,,
2023-02-12,,,
2023-02-13,,,
2023-02-14,0,2,0
2023-02-15,,,
2023-02-16,0,3,0
2023-02-17,,,
2023-02-18,,,
2023-02-19,,,
2023-02-20,,,
2023-02-21,,,
2023-02-22,0,5,0
2023-02-23,,,
2023-02-24,,,
2023-02-25,,,
2023-02-26,,,
2023-02-27,,,
2023-02-28,0,2,0
2023-03-01,,,
2023-03-02,0,3,0
2023-03-03,,,
2023-03-04,,,
2023-03-05,,,
2023-03-06,,,
2023-03-07,,,
2023-03-08,0,3,0
2023-03-09,0,2,0
2023-03-10,,,
2023-03-11,,,
2023-03-12,,,
2023-03-13,0,2,0
2023-03-14,,,
2023-03-15,,,
2023-03-16,0,3,0
2023-03-17,,,
2023-03-18,,,
2023-03-19,,,
2023-03-20,0,2,0
2023-03-21,,,
2023-03-22,,,
2023-03-23,,,
2023-03-24,0,3,0
2023-03-25,,,
2023-03-26,,,
2023-03-27,0,3,0
2023-03-28,0,2,0
2023-03-29,,,
2023-03-30,,,
2023-03-31,,,
2023-04-01,,,
2023-04-02,,,
2023-04-03,,,
2023-04-04,0,3,0
2023-04-05,0,2,0
2023-04-06,,,
2023-04-07,,,
2023-04-08,,,
2023-04-09,,,
2023-04-10,,,
2023-04-11,,,
2023-04-12,0,3,0
2023-04-13,0,2,0
2023-04-14,,,
2023-04-15,,,
2023-04-16,,,
2023-04-17,0,3,0
2023-04-18,,,
2023-04-19,,,
2023-04-20,,,
2023-04-21,0,2,0
2023-04-22,,,
2023-04-23,,,
2023-04-24,0,1,0
2023-04-25,0,5,0
2023-04-26,,,
2023-04-27,,,
2023-04-28,,,
2023-04-29,,,
2023-04-30,,,
2023-05-01,0,2,0
2023-05-02,0,3,0
2023-05-03,,,
2023-05-04,,,
2023-05-05,,,
2023-05-06,,,
2023-05-07,,,
2023-05-08,,,
2023-05-09,,,
2023-05-10,0,5,0
2023-05-11,,,
2023-05-12,,,
2023-05-13,,,
2023-05-14,,,
2023-05-15,0,2,0
2023-05-16,,,
2023-05-17,0,3,0
2023-05-18,,,
2023-05-19,,,
2023-05-20,,,
2023-05-21,,,
2023-05-22,,,
2023-05-23,0,2,0
2023-05-24,0,2,0
2023-05-25,,,
2023-05-26,,,
2023-05-27,,,
2023-05-28,,,
2023-05-29,,,
2023-05-30,,,
2023-05-31,0,2,0
2023-06-01,,,
2023-06-02,0,3,0
2023-06-03,,,
2023-06-04,,,
2023-06-05,,,
2023-06-06,0,2,0
2023-06-07,0,3,0
2023-06-08,,,
2023-06-09,,,
2023-06-10,,,
2023-06-11,,,
2023-06-12,,,
2023-06-13,0,2,0
2023-06-14,0,3,0
2023-06-15,,,
2023-06-16,,,
2023-06-17,,,
2023-06-18,,,
2023-06-19,,,
2023-06-20,,,
2023-06-21,0,2,0
2023-06-22,0,3,0
2023-06-23,,,
2023-06-24,,,
2023-06-25,,,
2023-06-26,,,
2023-06-27,,,
2023-06-28,,,
2023-06-29,0,3,0
2023-06-30,0,2,0

Notes:
Generated 06 Jul 2023 10:40:22 PDT. Cohort Juvenile Monitoring www.cbr.washington.edu/sacramento/data/query_sampling_graph.html.
Preliminary data from USFWS Lodi.
Data Disclaimer: Please note these data are preliminary and are subject to revision and correction.
"Citation. Columbia Basin Research, University of Washington. (2023). SacPAS Cohort Juvenile Monitoring. Available from www.cbr.washington.edu/sacramento/data/query_sampling_graph.html."
